name,nui,municipality,status,type,established_year,source
"MIK FLY L.L.C.","812382183","Prishtinë","Registered","LLC","2026","https://arbk.atlas-studio.eu/activity/7911/page/18"
"Dafina Me. Gashi B.I.","812249177","Klinë","Registered","Individual","2025","https://arbk.atlas-studio.eu/activity/7911/page/18"
"Euro Fly SH.P.K.","811509259","Prishtinë","Registered","LLC","2021","https://arbk.atlas-studio.eu/activity/7911/page/18"
"Rrufeja SH.P.K.","810272097","Gjilan","Registered","LLC","2004","https://arbk.atlas-studio.eu/activity/7911/page/18"
"MORINA FLY TRAVEL SH.P.K.","812380864","Malishevë","Registered","LLC","2026","https://arbk.atlas-studio.eu/activity/7911/page/18"
"LENA FLY SH.P.K.","812380765","Kamenicë","Registered","LLC","2026","https://arbk.atlas-studio.eu/activity/7911/page/18"
"OSCAR TURIZM L.L.C.","812381581","Prizren","Registered","LLC","2026","https://arbk.atlas-studio.eu/activity/7911/page/18"
"TURO TRAVEL L.L.C.","812381549","Prishtinë","Registered","LLC","2026","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Valentina Zeka B.I.","810569436","Mitrovicë","Registered","Individual","2016","https://arbk.atlas-studio.eu/activity/7911/page/19"
"PLUS TRAVEL SH.P.K.","810846199","Prishtinë","Registered","LLC","2015","https://arbk.atlas-studio.eu/activity/7911/page/19"
"TRAVEL LINES SH.P.K.","810895659","Prishtinë","Registered","LLC","2010","https://arbk.atlas-studio.eu/activity/7911/page/19"
"AYA Travel SH.P.K.","812127951","Ferizaj","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Premium Travel Agency SH.P.K.","812128339","Fushë Kosovë","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Dreams Travel 04 SH.P.K.","812128230","Prizren","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Top Travel Tourism L.L.C.","812128214","Prishtinë","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Elldin Shabani B.I.","811903203","Prizren","Registered","Individual","2022","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Vera Veseli B.I.","811271056","Prizren","Registered","Individual","2019","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Shqipërim Isufi B.I.","810261941","Gjilan","Registered","Individual","2001","https://arbk.atlas-studio.eu/activity/7911/page/19"
"KRAHASONI L.L.C.","812127480","Lipjan","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Valmir Q. Hasani B.I.","812127745","Vushtrri","Registered","Individual","2024","https://arbk.atlas-studio.eu/activity/7911/page/19"
"ANNA REISEN FM SH.P.K.","812012863","Prishtinë","Registered","LLC","2023","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Legacy Visit SH.P.K.","812127224","Ferizaj","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/19"
"AIR BALKAN L.L.C.","812126953","Prizren","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/19"
"AirFly SH.P.K.","812126945","Prishtinë","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/19"
"N T SH VECTOR O.P.","810573049","Prizren","Registered","Partnership","2001","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Jolly Travel L.L.C.","812123727","Prishtinë","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Flyes adk Prishtina SH.P.K.","812123800","Prishtinë","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Dije Nikqi B.I.","810758279","Pejë","Registered","Individual","2011","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Kujtim Salihu B.I.","810441551","Podujevë","Registered","Individual","2008","https://arbk.atlas-studio.eu/activity/7911/page/19"
"PARAGON CONSULTING GmbH Dega në Kosovë","811506362","Prishtinë","Registered","","2021","https://arbk.atlas-studio.eu/activity/7911/page/19"
"RUSOLIA TRAVEL D SH.P.K.","811506354","Prishtinë","Registered","LLC","2021","https://arbk.atlas-studio.eu/activity/7911/page/19"
"REISEBURO PRISHTINA INTERNATIONAL SH.P.K.","811398727","Prishtinë","Registered","LLC","2020","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Isak Tusha B.I.","810718653","Lipjan","Registered","Individual","2012","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Halil I. Zeqiri B.I.","811066796","Ferizaj","Registered","Individual","2011","https://arbk.atlas-studio.eu/activity/7911/page/19"
"EurO-Travel Agency SH.P.K.","810505414","Prishtinë","Registered","LLC","2005","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Fitim Voca B.I.","812367060","Mitrovicë","Registered","Individual","2026","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Hajdin Kurtishaj B.I.","812235291","Suharekë","Registered","Individual","2025","https://arbk.atlas-studio.eu/activity/7911/page/19"
"ATI FLY SH.P.K.","812115435","Ferizaj","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/19"
"TRIP TRAVEL SH.P.K.","811387126","Pejë","Registered","LLC","2020","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Destination Management Group SH.P.K.","810187105","Fushë Kosovë","Registered","LLC","2019","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Sylejman Zogu B.I.","810472548","Prishtinë","Registered","Individual","2002","https://arbk.atlas-studio.eu/activity/7911/page/19"
"LEONITA OSMANI GROUP SH.P.K.","812234318","Vushtrri","Registered","LLC","2025","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Kaltrina AirSLO SH.P.K.","812000818","Prishtinë","Registered","LLC","2023","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Euro Tours Arti SH.P.K.","811890327","Pejë","Registered","LLC","2022","https://arbk.atlas-studio.eu/activity/7911/page/19"
"FRON TRAVEL SH.P.K.","811385998","Prishtinë","Registered","LLC","2020","https://arbk.atlas-studio.eu/activity/7911/page/19"
"PAJTIMI TURIZEM SH.P.K.","811386178","Malishevë","Registered","LLC","2020","https://arbk.atlas-studio.eu/activity/7911/page/19"
"ZZ Travel SH.P.K.","810873217","Prishtinë","Registered","LLC","2017","https://arbk.atlas-studio.eu/activity/7911/page/19"
"ALBA TOURS SH.P.K.","811185702","Gjilan","Registered","LLC","2016","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Metije Zulfaj B.I.","811156935","Malishevë","Registered","Individual","2015","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Craft Tours SH.P.K.","812114974","Prishtinë","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Just Travel SH.P.K.","812000115","Lipjan","Registered","LLC","2023","https://arbk.atlas-studio.eu/activity/7911/page/19"
"Euro Sky Travel Club O.P.","810492992","Prishtinë","Registered","Partnership","2004","https://arbk.atlas-studio.eu/activity/7911/page/20"
"Getuar Qorri B.I.","810186040","Gllogoc","Registered","Individual","2019","https://arbk.atlas-studio.eu/activity/7911/page/20"
"Shefqet H. Kastrati B.I.","810082181","Malishevë","Registered","Individual","2018","https://arbk.atlas-studio.eu/activity/7911/page/20"
"NEXT FLY SH.P.K.","811898016","Fushë Kosovë","Registered","LLC","2022","https://arbk.atlas-studio.eu/activity/7911/page/20"
"DRISO Group L.L.C.","811898389","Prishtinë","Registered","LLC","2022","https://arbk.atlas-studio.eu/activity/7911/page/20"
"Halil Haziri B.I.","810279168","Gjilan","Registered","Individual","2007","https://arbk.atlas-studio.eu/activity/7911/page/20"
"Tanamera SH.P.K.","810681397","Viti","Registered","LLC","2006","https://arbk.atlas-studio.eu/activity/7911/page/20"
"GJEJ TRIP.COM SH.P.K.","812374990","Prishtinë","Registered","LLC","2026","https://arbk.atlas-studio.eu/activity/7911/page/20"
"Adem Paçarizi B.I.","812374809","Malishevë","Registered","Individual","2026","https://arbk.atlas-studio.eu/activity/7911/page/20"
"BLERIMI GROUP 2020 L.L.C.","812122878","Prizren","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/20"
"DEGA VA SH.P.K.","812122969","Prishtinë","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/20"
"VISTA TRAVEL L.L.C.","810835390","Prishtinë","Registered","LLC","2014","https://arbk.atlas-studio.eu/activity/7911/page/20"
"Orchidea Travel SH.P.K.","812374487","Ferizaj","Registered","LLC","2026","https://arbk.atlas-studio.eu/activity/7911/page/20"
"Agjensia ''BOSFOR TOURS'' SH.P.K.","812358407","Prishtinë","Registered","LLC","2025","https://arbk.atlas-studio.eu/activity/7911/page/20"
"LineTicket SH.P.K.","812358118","Prishtinë","Registered","LLC","2025","https://arbk.atlas-studio.eu/activity/7911/page/20"
"ERA AGENCY SH.P.K.","812121987","Mitrovicë","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/20"
"BICAJ TRAVEL SH.P.K.","812121937","Istog","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/20"
"Argjend Buzhala B.I.","812122448","Malishevë","Registered","Individual","2024","https://arbk.atlas-studio.eu/activity/7911/page/20"
"SkySun Travel SH.P.K.","812122323","Kaçanik","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/20"
"FLY AIR TRAVEL SH.P.K.","811883794","Rahovec","Registered","LLC","2021","https://arbk.atlas-studio.eu/activity/7911/page/20"
"ARTERI VISA AGENCY SH.P.K.","811883968","Prishtinë","Registered","LLC","2021","https://arbk.atlas-studio.eu/activity/7911/page/20"
"Imer Jetishi B.I.","812372887","Gjakovë","Registered","Individual","2026","https://arbk.atlas-studio.eu/activity/7911/page/20"
"Gazmend B. Luzha B.I.","812107276","Kaçanik","Registered","Individual","2023","https://arbk.atlas-studio.eu/activity/7911/page/20"
"eutravel fer SH.P.K.","812107169","Ferizaj","Registered","LLC","2023","https://arbk.atlas-studio.eu/activity/7911/page/20"
"Mergim Demiraj B.I.","811486902","Suharekë","Registered","Individual","2020","https://arbk.atlas-studio.eu/activity/7911/page/20"
"PrishtinaSKY Group L.L.C.","811486556","Prishtinë","Registered","LLC","2020","https://arbk.atlas-studio.eu/activity/7911/page/20"
"ABC Servis SH.P.K.","811128067","Gjakovë","Registered","LLC","2015","https://arbk.atlas-studio.eu/activity/7911/page/20"
"Agni Smajli B.I.","810668551","Ferizaj","Registered","Individual","2006","https://arbk.atlas-studio.eu/activity/7911/page/20"
"TRAVEL ON L.L.C.","812006965","Prishtinë","Registered","LLC","2023","https://arbk.atlas-studio.eu/activity/7911/page/20"
"TRI TRAVEL SH.P.K.","812006816","Viti","Registered","LLC","2023","https://arbk.atlas-studio.eu/activity/7911/page/20"
"GUIDE TRAVEL AGENCY SH.P.K.","811882671","Podujevë","Registered","LLC","2021","https://arbk.atlas-studio.eu/activity/7911/page/20"
"Azka Travel SH.P.K.","811882639","Mitrovicë","Registered","LLC","2021","https://arbk.atlas-studio.eu/activity/7911/page/20"
"MASTER TRAVEL SH.P.K.","811093484","Viti","Registered","LLC","2017","https://arbk.atlas-studio.eu/activity/7911/page/20"
"Jordan Travel SH.P.K.","812357186","Prishtinë","Registered","LLC","2025","https://arbk.atlas-studio.eu/activity/7911/page/20"
"MONOPOLY TRAVEL SH.P.K.","812226315","Gjilan","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/20"
"Tripkos L.L.C.","812106624","Gjakovë","Registered","LLC","2023","https://arbk.atlas-studio.eu/activity/7911/page/20"
"Neo Fly SH.P.K.","812106559","Gjilan","Registered","LLC","2023","https://arbk.atlas-studio.eu/activity/7911/page/20"
"TRAVEL BIBA PR SH.P.K.","811896606","Pejë","Registered","LLC","2022","https://arbk.atlas-studio.eu/activity/7911/page/20"
"OMER TRAVEL 2016 L.L.C.","811992694","Prizren","Registered","LLC","2022","https://arbk.atlas-studio.eu/activity/7911/page/20"
"Soni Tours Group SH.P.K.","811992628","Vushtrri","Registered","LLC","2022","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Agjensioni Turistik DAUTAJ TRAVEL SH.P.K.","810088460","Deçan","Registered","LLC","2018","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Gm fast Solutions Consultancy L.L.C.","812356196","Fushë Kosovë","Registered","LLC","2025","https://arbk.atlas-studio.eu/activity/7911/page/21"
"EVARENT SH.P.K.","812356378","Fushë Kosovë","Registered","LLC","2025","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Global Group ALT L.L.C.","812225739","Lipjan","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/21"
"BIBA TRAVEL SH.P.K.","810178039","Pejë","Registered","LLC","2018","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Agjensioni ARBËRIA SH.P.K.","810823113","Prishtinë","Registered","LLC","2013","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Discover America SH.P.K.","810800575","Prishtinë","Registered","LLC","2009","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Sokol Dema B.I.","811840992","Gjilan","Registered","Individual","2002","https://arbk.atlas-studio.eu/activity/7911/page/21"
"DIJON TOURS SH.P.K.","812119792","Pejë","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/21"
"iFly Traveling SH.P.K.","812119990","Ferizaj","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/21"
"TABA Travel Agency SH.P.K.","811378951","Fushë Kosovë","Registered","LLC","2019","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Nese Farko B.I.","810206989","Prizren","Registered","Individual","2015","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Bilall Xani B.I.","810937477","Prishtinë","Registered","Individual","2014","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Victoria Tours SH.P.K.","810267262","Gjilan","Registered","LLC","2002","https://arbk.atlas-studio.eu/activity/7911/page/21"
"PLANNER AGENCY L.L.C.","811999377","Prishtinë","Registered","LLC","2022","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Baki Januzi B.I.","810336736","Kamenicë","Registered","Individual","2001","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Fumea Group L.L.C.","812233055","Prishtinë","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Urban Agency SH.P.K.","812112845","Prizren","Registered","LLC","2023","https://arbk.atlas-studio.eu/activity/7911/page/21"
"B TICKETS SH.P.K.","811998767","Lipjan","Registered","LLC","2022","https://arbk.atlas-studio.eu/activity/7911/page/21"
"EURO-TICK TRAVEL L.L.C.","810834235","Prishtinë","Registered","LLC","2013","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Bedri Latifi B.I.","812363183","Mitrovicë","Registered","Individual","2025","https://arbk.atlas-studio.eu/activity/7911/page/21"
"MAYA TRAVEL SH.P.K.","812232677","Lipjan","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/21"
"DEVA TOURS SH.P.K.","811384651","Gjakovë","Registered","LLC","2019","https://arbk.atlas-studio.eu/activity/7911/page/21"
"TRAVEL MATE SH.P.K.","810080870","Prishtinë","Registered","LLC","2017","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Luljeta Zeneli B.I.","810714031","Lipjan","Registered","Individual","2008","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Agjensioni Turistik BUTRINTI - I SH.P.K.","810184284","Gjilan","Registered","LLC","2018","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Lowestpricevacations.com SH.P.K.","810184482","Prishtinë","Registered","LLC","2018","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Irfan Murseli B.I.","810184515","Ferizaj","Registered","Individual","2018","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Kosova FLY SH.P.K.","810198095","Ferizaj","Registered","LLC","2015","https://arbk.atlas-studio.eu/activity/7911/page/21"
"OLBI TRAVEL SH.P.K.","812231562","Gllogoc","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Euro Fly Tours SH.P.K.","812111657","Prizren","Registered","LLC","2023","https://arbk.atlas-studio.eu/activity/7911/page/21"
"DIMALI TRAVEL SHM SH.P.K.","811998105","Prishtinë","Registered","LLC","2022","https://arbk.atlas-studio.eu/activity/7911/page/21"
"SETRA BUSS SH.P.K.","810751330","Pejë","Registered","LLC","2016","https://arbk.atlas-studio.eu/activity/7911/page/21"
"EXPRESS KS TRAVEL SH.P.K.","811391507","Pejë","Registered","LLC","2020","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Travel Tick SH.P.K.","811485524","Gjilan","Registered","LLC","2020","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Albanian Wings SH.P.K.","810191346","Prishtinë","Registered","LLC","2019","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Ilir R. Hasani B.I.","810086977","Gjilan","Registered","Individual","2018","https://arbk.atlas-studio.eu/activity/7911/page/21"
"AR TRAVEL GROUP SH.P.K.","810087404","Prishtinë","Registered","LLC","2018","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Leotrim Kazazi B.I.","811145128","Gjakovë","Registered","Individual","2015","https://arbk.atlas-studio.eu/activity/7911/page/21"
"Agjencioni Turistik Trip Travel SH.P.K.","812111334","Kaçanik","Registered","LLC","2023","https://arbk.atlas-studio.eu/activity/7911/page/22"
"Travellers Point L.L.C.","812111102","Ferizaj","Registered","LLC","2023","https://arbk.atlas-studio.eu/activity/7911/page/22"
"SHKËNDIJA TRAVEL SH.P.K.","810184945","Gjilan","Registered","LLC","2018","https://arbk.atlas-studio.eu/activity/7911/page/22"
"Interstellar Travel Co. L.L.C.","812110386","Prishtinë","Registered","LLC","2023","https://arbk.atlas-studio.eu/activity/7911/page/22"
"Majlinda Elshani B.I.","811383611","Prishtinë","Registered","Individual","2019","https://arbk.atlas-studio.eu/activity/7911/page/22"
"Cufa Reisen SH.P.K.","811050442","Ferizaj","Registered","LLC","2014","https://arbk.atlas-studio.eu/activity/7911/page/22"
"Vetalgo SH.P.K.","812230689","Prishtinë","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/22"
"ERT Consultancy L.L.C.","811490135","Vushtrri","Registered","LLC","2020","https://arbk.atlas-studio.eu/activity/7911/page/22"
"Kosova Travel SH.P.K.","810800781","Prishtinë","Registered","LLC","2009","https://arbk.atlas-studio.eu/activity/7911/page/22"
"Alfred Toplana B.I.","810312942","Klinë","Registered","Individual","2002","https://arbk.atlas-studio.eu/activity/7911/page/22"
"AIR TIKET SH.P.K.","811382910","Prishtinë","Registered","LLC","2019","https://arbk.atlas-studio.eu/activity/7911/page/22"
"Shetit com SH.P.K.","811382829","Prishtinë","Registered","LLC","2019","https://arbk.atlas-studio.eu/activity/7911/page/22"
"ANIK TRAVEL SH.P.K.","810191312","Gjilan","Registered","LLC","2018","https://arbk.atlas-studio.eu/activity/7911/page/22"
"Nenad Stojakovic B.I.","810556863","Mitrovicë Veriore","Registered","Individual","2010","https://arbk.atlas-studio.eu/activity/7911/page/22"
"DSHF GROUP SH.P.K.","812229434","Prizren","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/22"
"Suhejla SH.P.K.","811885766","Ferizaj","Registered","LLC","2021","https://arbk.atlas-studio.eu/activity/7911/page/22"
"VOYAGERIA Travel L.L.C.","812360147","Prishtinë","Registered","LLC","2025","https://arbk.atlas-studio.eu/activity/7911/page/22"
"BLUE SKY TRAVEL SH.P.K.","811995804","Gjakovë","Registered","LLC","2022","https://arbk.atlas-studio.eu/activity/7911/page/22"
"SKY TRAVEL AGENCY L.L.C.","810872227","Prishtinë","Registered","LLC","2016","https://arbk.atlas-studio.eu/activity/7911/page/22"
"Zef Demaj B.I.","810674475","Viti","Registered","Individual","2000","https://arbk.atlas-studio.eu/activity/7911/page/22"
"VASSA D.O.O.","812359629","Shtërpcë","Registered","LLC","2025","https://arbk.atlas-studio.eu/activity/7911/page/22"
"Soulful Travels SH.P.K.","812228783","Prishtinë","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/22"
"Travel Leaders SH.P.K.","812228692","Prishtinë","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/22"
"KOSOVOCHANCES L.L.C.","811994731","Prishtinë","Registered","LLC","2022","https://arbk.atlas-studio.eu/activity/7911/page/22"
"RACI TRAVEL GROUP SH.P.K.","811381954","Prishtinë","Registered","LLC","2019","https://arbk.atlas-studio.eu/activity/7911/page/22"
"MALËSIA Reisen SH.P.K.","810844193","Prishtinë","Registered","LLC","2014","https://arbk.atlas-studio.eu/activity/7911/page/22"
"Trippo Travel SH.P.K.","812105783","Ferizaj","Registered","LLC","2023","https://arbk.atlas-studio.eu/activity/7911/page/22"
"FLYNOW TICKETS SH.P.K.","812105759","Prishtinë","Registered","LLC","2023","https://arbk.atlas-studio.eu/activity/7911/page/22"
"FLY FALCON SH.P.K.","811499468","Prishtinë","Registered","LLC","2021","https://arbk.atlas-studio.eu/activity/7911/page/22"
"A.T. BKS Travel O.P.","810472473","Prishtinë","Registered","Partnership","2002","https://arbk.atlas-studio.eu/activity/7911/page/22"
"TRAVELSPHERE L.L.C.","812359348","Prishtinë","Registered","LLC","2025","https://arbk.atlas-studio.eu/activity/7911/page/22"
"Prishtina Wings Travel Agency SH.P.K.","812359364","Prishtinë","Registered","LLC","2025","https://arbk.atlas-studio.eu/activity/7911/page/22"
"GM Tourism L.L.C.","812228402","Prishtinë","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/22"
"Anno Travel Agency L.L.C.","812227545","Prishtinë","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/22"
"Faik Veseli B.I.","811498395","Skenderaj","Registered","Individual","2021","https://arbk.atlas-studio.eu/activity/7911/page/23"
"ALBA TOURS AGENCY SH.P.K.","811390294","Mitrovicë","Registered","LLC","2020","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Fatlum Mehmeti B.I.","811279141","Pejë","Registered","Individual","2014","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Fly Agency SH.P.K.","812099522","Gjilan","Registered","LLC","2023","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Pack&Travel SH.P.K.","811498113","Fushë Kosovë","Registered","LLC","2021","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Go2fly SH.P.K.","811983990","Fushë Kosovë","Registered","LLC","2022","https://arbk.atlas-studio.eu/activity/7911/page/23"
"TOP TRAVEL SH.P.K.","811894098","Prishtinë","Registered","LLC","2022","https://arbk.atlas-studio.eu/activity/7911/page/23"
"MY TRAVEL SH.P.K.","810870619","Prishtinë","Registered","LLC","2016","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Hysni Morina B.I.","810709298","Malishevë","Registered","Individual","2004","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Celeina Tours L.L.C.","811983594","Prishtinë","Registered","LLC","2022","https://arbk.atlas-studio.eu/activity/7911/page/23"
"CONGRESS TRAVEL L.L.C.","810070037","Prishtinë","Registered","LLC","2017","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Bexhet Selmani I.B.","811455759","Ferizaj","Registered","Individual","2011","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Murat Mazreku B.I.","810709404","Malishevë","Registered","Individual","2007","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Aferdita Zherka B.I.","810229072","Gjakovë","Registered","Individual","2002","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Blerinë Morina B.I.","812346642","Malishevë","Registered","Individual","2025","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Gate Travel SH.P.K.","812347153","Ferizaj","Registered","LLC","2025","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Global Path Agency L.L.C.","812346874","Prishtinë","Registered","LLC","2025","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Beyond Borders L.L.C.","812117978","Prishtinë","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Aventuro Travel L.L.C.","812117960","Prishtinë","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Kosovo Walker L.L.C.","811389221","Prishtinë","Registered","LLC","2020","https://arbk.atlas-studio.eu/activity/7911/page/23"
"AT. Saranda Travel SH.P.K.","810069874","Gjilan","Registered","LLC","2017","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Balkan Natural Advanture SH.P.K.","810748288","Pejë","Registered","LLC","2015","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Fatime Sylejmani B.I.","810337784","Kamenicë","Registered","Individual","2000","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Faik Dragidella B.I.","810462218","Prishtinë","Registered","Individual","2000","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Duo's Travel SH.P.K.","812117423","Gjilan","Registered","LLC","2024","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Rinor Ramadani B.I.","811388942","Ferizaj","Registered","Individual","2020","https://arbk.atlas-studio.eu/activity/7911/page/23"
"EURO TRAVEL SH.P.K.","810188517","Pejë","Registered","LLC","2019","https://arbk.atlas-studio.eu/activity/7911/page/23"
"ITRAVEL AGENCY SH.P.K.","811185752","Gjilan","Registered","LLC","2016","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Agjensioni Turistik Inter Travel Club SH.P.K.","810854184","Prishtinë","Registered","LLC","2015","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Kosovare Bytyqi Ahmeti B.I.","811005637","Prizren","Registered","Individual","2015","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Xplore Travel SH.P.K.","811874917","Ferizaj","Registered","LLC","2021","https://arbk.atlas-studio.eu/activity/7911/page/23"
"GASHI TRAVEL SH.P.K.","811476838","Pejë","Registered","LLC","2020","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Stefan Milovanović I.B.","811476573","Graçanicë","Registered","Individual","2020","https://arbk.atlas-studio.eu/activity/7911/page/23"
"TUAR FLY SH.P.K.","811054436","Ferizaj","Registered","LLC","2016","https://arbk.atlas-studio.eu/activity/7911/page/23"
"TRAVEKS SH.P.K.","810834566","Prishtinë","Registered","LLC","2014","https://arbk.atlas-studio.eu/activity/7911/page/23"
"OnSky Travel SH.P.K.","812097229","Skenderaj","Registered","LLC","2023","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Air Travel SH.P.K.","811982562","Skenderaj","Registered","LLC","2022","https://arbk.atlas-studio.eu/activity/7911/page/23"
"Agnesa Abdyli Prebreza B.I.","811496406","Fushë Kosovë","Registered","Individual","2021","https://arbk.atlas-studio.eu/activity/7911/page/23"
"TRAVEL GROUP INTERNATIONAL L.L.C.","811874727","Prishtinë","Registered","LLC","2021","https://arbk.atlas-studio.eu/activity/7911/page/24"
"Agjensioni BLEDA SH.P.K.","811387928","Ferizaj","Registered","LLC","2020","https://arbk.atlas-studio.eu/activity/7911/page/24"
"PUSHIME SH.P.K.","811475898","Prishtinë","Registered","LLC","2020","https://arbk.atlas-studio.eu/activity/7911/page/24"
"Bukurije Nikqi B.I.","810760505","Pejë","Registered","Individual","2012","https://arbk.atlas-studio.eu/activity/7911/page/24"
"Holidayline SH.P.K.","810801169","Prishtinë","Registered","LLC","2010","https://arbk.atlas-studio.eu/activity/7911/page/24"
"Shpëtim Turku B.I.","810892530","Prishtinë","Registered","Individual","2009","https://arbk.atlas-studio.eu/activity/7911/page/24"
"FLIX BUS KOSOVA SH.P.K.","810176794","Pejë","Registered","LLC","2018","https://arbk.atlas-studio.eu/activity/7911/page/24"
"A.T. EURO - FLY SH.P.K.","810075095","Pejë","Registered","LLC","2017","https://arbk.atlas-studio.eu/activity/7911/page/24"
"Sabri Deda B.I.","810441486","Podujevë","Registered","Individual","2007","https://arbk.atlas-studio.eu/activity/7911/page/24"
"YASER TURIZM L.L.C.","812354348","Prishtinë","Registered","LLC","2025","https://arbk.atlas-studio.eu/activity/7911/page/24"
